id	name	fips	sector
529	United States Air Force Academy	8	1
530	Empire Beauty School-Thornton	8	6
531	Western State Colorado University	8	1
532	Albertus Magnus College	9	2
533	Asnuntuck Community College	9	4
534	Lincoln College of New England-Southington	9	3
535	University of Bridgeport	9	2
536	Central Connecticut State University	9	1
537	Charter Oak State College	9	1
538	Connecticut College	9	2
539	University of Connecticut	9	1
540	Goodwin College	9	2
541	Eastern Connecticut State University	9	1
542	Fairfield University	9	2
543	Capital Community College	9	4
544	Rensselaer Hartford Graduate Center Inc	9	2
545	American Institute-West Hartford	9	6
546	Hartford Seminary	9	2
547	University of Hartford	9	2
548	Holy Apostles College and Seminary	9	2
549	Housatonic Community College	9	4
550	Lyme Academy College of Fine Arts	9	2
551	Manchester Community College	9	4
552	Naugatuck Valley Community College	9	4
553	Middlesex Community College	9	4
554	Mitchell College	9	2
555	Three Rivers Community College	9	4
556	University of New Haven	9	2
557	Norwalk Community College	9	4
558	Northwestern Connecticut Community College	9	4
559	Paier College of Art Inc	9	3
560	Post University	9	3
561	Quinebaug Valley Community College	9	4
562	Quinnipiac University	9	2
563	Sacred Heart University	9	2
564	University of Saint Joseph	9	2
565	Gateway Community College	9	4
566	St Vincent's College	9	2
567	Southern Connecticut State University	9	1
568	Tri-State College of Acupuncture	36	3
569	Trinity College	9	2
570	Tunxis Community College	9	4
571	United States Coast Guard Academy	9	1
572	Wesleyan University	9	2
573	Western Connecticut State University	9	1
574	Yale-New Haven Hospital Dietetic Internship	9	2
575	Yale University	9	2
576	Margaret H Rollins School of Nursing at Beebe Medical Center	10	5
577	Delaware Technical Community College-Owens	10	4
578	Delaware Technical Community College-Terry	10	4
579	Delaware Technical Community College-Stanton/Wilmington	10	4
580	Delaware State University	10	1
581	University of Delaware	10	1
582	Goldey-Beacom College	10	2
583	Wesley College	10	2
584	Wilmington University	10	2
585	American University	11	2
586	Catholic University of America	11	2
587	University of the District of Columbia	11	1
588	Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies	11	2
589	Gallaudet University	11	2
590	George Washington University	11	2
591	Georgetown University	11	2
592	Howard University	11	2
593	Medtech Institute	51	6
594	Strayer University-District of Columbia	11	3
595	National Conservatory of Dramatic Arts	11	5
596	Trinity Washington University	11	2
597	Wesley Theological Seminary	11	2
598	Wyotech-Daytona	12	5
599	The Art Institute of Fort Lauderdale	12	3
600	Atlantic Technical College	12	4
601	The Baptist College of Florida	12	2
602	Barry University	12	2
603	Gooding Institute of Nurse Anesthesia	12	3
604	Bethune-Cookman University	12	2
605	Lynn University	12	2
606	Bradford-Union Technical Center	12	4
607	Eastern Florida State College	12	1
608	Broward College	12	1
609	Carlos Albizu University-Miami	12	2
610	College of Central Florida	12	1
611	Johnson University Florida	12	2
612	University of Central Florida	12	1
613	Charlotte Technical Center	12	4
614	Chipola College	12	1
615	Clearwater Christian College	12	2
616	Lorenzo Walker Technical College	12	4
617	Daytona State College	12	1
618	South University-West Palm Beach	12	3
619	Eckerd College	12	2
620	Florida SouthWestern State College	12	1
621	Edward Waters College	12	2
622	Embry-Riddle Aeronautical University-Daytona Beach	12	2
623	Florida Agricultural and Mechanical University	12	1
624	Florida Atlantic University	12	1
625	Florida State College at Jacksonville	12	1
626	Flagler College-St Augustine	12	2
627	Florida College	12	2
628	Concorde Career Institute-Jacksonville	12	6
629	Concorde Career Institute-Miramar	12	6
630	Concorde Career Institute-Tampa	12	6
631	Adventist University of Health Sciences	12	2
632	Florida Institute of Technology	12	2
633	Florida Institute of Ultrasound Inc	12	6
634	Florida International University	12	1
635	Florida Keys Community College	12	4
636	Florida Memorial University	12	2
637	Florida Career College-Miami	12	6
638	Florida Southern College	12	2
639	Florida State University	12	1
640	Florida Technical College	12	3
641	University of Southernmost Florida	12	6
